MontoCredito;IngresoNeto;CoefCreditoAvaluo;MontoCuota;GradoAcademico;BuenPagador
17341;1;11;Alto;Licenciatura;NA
18315;1;11;Alto;Licenciatura;NA
19172;1;11;Alto;Licenciatura;NA
16761;1;11;Alto;Licenciatura;NA
274224;1;1;Alto;Licenciatura;NA
15998;1;11;Alto;Licenciatura;NA
11669;1;11;Alto;Licenciatura;NA
19875;2;11;Alto;Licenciatura;NA
19381;1;11;Alto;Licenciatura;NA
26934;1;11;Alto;Licenciatura;NA
13733;2;12;Alto;Licenciatura;NA
38185;2;11;Alto;Licenciatura;NA
40644;2;12;Alto;Licenciatura;NA
13316;2;12;Alto;Bachiller;NA
16469;1;12;Alto;Bachiller;NA
15747;2;12;Alto;Bachiller;NA
16331;1;12;Alto;Bachiller;NA
27503;2;12;Alto;Bachiller;NA
12873;2;12;Alto;Bachiller;NA
63316;2;11;Medio;Bachiller;NA
123772;2;11;Alto;Bachiller;NA
21449;2;11;Alto;Bachiller;NA
12325;1;11;Bajo;Bachiller;NA
16229;2;6;Bajo;Bachiller;NA
40170;1;12;Medio;Licenciatura;NA